"bf","race2","income","educ","female","age","partyid","region","vote1a","vote2a","vote1b","vote2b","pt"
"Non-Recipient","Other",3,4,0,53,5,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",NA,4,0,54,1,"Sountheast",0,1,NA,"Incumbent",0
"Non-Recipient","Afro-Brazilian",3,1,0,41,1,"South",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",NA,4,0,22,1,"Sountheast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",2,3,0,27,1,"North",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",4,3,0,35,5,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",2,2,1,46,1,"South",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",2,1,0,34,1,"North",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",NA,5,1,32,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",4,4,0,33,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",4,4,1,34,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",1,3,1,45,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",3,4,0,33,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",5,4,0,45,1,"South",1,0,"Opposition",NA,0
"Non-Recipient","Afro-Brazilian",4,4,0,57,1,"Midwest",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",4,4,0,48,2,"Sountheast",1,1,"Incumbent","Incumbent",1
"Recipient","Afro-Brazilian",3,3,0,31,1,"North",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",4,5,1,34,1,"Sountheast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",3,3,0,55,1,"Sountheast",0,1,NA,"Incumbent",0
"Non-Recipient","Other",3,4,1,24,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,2,1,54,1,"Sountheast",1,1,"Opposition","Opposition",0
"Recipient","Other",1,NA,1,42,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,1,1,54,1,"Sountheast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",5,5,1,32,1,"South",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,2,1,47,1,"North",1,1,"Incumbent","Incumbent",0
