"vote","black","hisp","pid7","income","age","educ_attain"
1,0,0,7,13,29,2
1,0,0,6,17,26,4
0,1,0,1,22,58,1
1,0,0,4,28,56,2
0,0,0,3,14,86,3
1,0,0,2,14,67,3
0,0,0,1,10,62,5
0,0,1,1,27,46,5
1,0,0,7,16,70,4
0,0,0,1,26,30,5
1,0,0,6,3,32,3
1,0,0,5,13,61,1
0,0,0,3,17,73,5
1,0,0,7,24,64,4
1,0,0,5,17,69,4
0,0,0,2,6,67,5
1,0,0,7,21,54,3
1,0,1,3,5,48,1
0,1,0,2,21,26,3
1,0,0,7,9,25,3
0,1,0,1,19,46,4
1,0,0,7,14,59,3
1,0,0,5,14,39,3
0,0,0,2,26,52,4
1,0,0,5,17,46,3
0,0,0,1,24,45,2
0,0,0,1,22,61,5
1,0,0,6,14,30,3
1,0,0,6,26,55,3
0,0,0,1,27,35,5
0,0,0,3,14,24,3
0,0,1,1,1,61,4
0,0,0,1,19,52,4
0,1,0,1,7,76,3
0,0,0,1,3,47,2
0,0,0,3,5,68,3
0,0,0,1,13,45,3
0,0,1,2,8,50,1
0,1,0,1,18,68,5
0,0,0,1,20,60,3
0,0,1,3,3,36,4
1,0,0,5,23,46,3
0,0,0,3,15,35,3
0,1,0,2,4,78,2
0,0,0,1,11,55,2
0,0,1,1,12,69,4
0,1,0,3,26,55,4
0,0,0,3,12,68,5
1,0,0,5,25,42,5
1,0,0,7,15,82,2
1,0,0,7,24,53,3
1,0,0,7,16,65,4
0,1,0,2,1,42,3
0,0,0,1,24,30,3
1,0,0,5,15,23,4
1,0,0,7,24,31,2
0,0,1,1,6,68,1
1,0,0,6,24,29,3
0,0,0,1,26,36,4
0,0,0,1,24,47,4
0,0,0,1,12,26,4
1,0,0,1,1,83,1
0,0,0,6,17,36,2
1,0,0,5,25,58,3
0,0,1,2,12,30,2
1,0,0,4,11,75,2
1,0,0,5,22,50,2
1,0,0,6,14,27,3
1,0,0,5,1,69,3
1,0,1,7,22,43,3
0,0,1,6,11,34,3
0,0,0,3,24,33,4
1,0,0,6,1,57,3
1,0,1,5,20,38,2
0,0,0,1,1,81,2
0,0,0,3,11,75,2
1,0,0,7,13,74,3
0,0,0,3,25,43,4
1,0,0,7,3,88,3
1,0,0,5,18,57,2
0,0,0,1,16,59,5
0,0,0,1,15,45,4
1,0,0,7,11,30,2
1,0,0,4,1,78,2
0,1,0,1,14,72,4
0,0,0,3,21,36,4
0,0,0,1,2,86,1
0,0,0,1,26,55,4
0,1,0,2,12,68,2
0,0,0,1,12,69,4
1,0,0,5,20,62,3
1,0,1,5,19,55,3
0,0,0,1,20,76,5
0,0,0,1,8,31,4
1,0,0,2,7,52,1
0,0,1,3,19,35,4
0,1,0,1,17,25,2
0,0,0,2,21,52,5
1,0,0,7,23,66,3
0,0,0,2,9,65,3
1,0,0,7,25,45,4
1,0,0,7,12,59,3
0,0,0,1,28,37,5
0,0,0,1,14,66,2
1,0,0,7,13,74,4
0,1,0,1,2,57,2
1,0,0,4,21,27,2
0,0,0,2,16,24,3
1,0,0,3,22,43,4
0,1,0,1,13,42,2
0,1,0,2,1,69,1
1,0,0,6,1,87,2
1,0,0,7,18,56,3
1,0,0,6,1,18,2
0,0,0,1,11,19,2
0,0,0,3,7,67,3
0,0,1,5,8,23,1
0,0,0,1,23,41,4
1,0,0,7,25,49,3
1,0,0,7,7,78,1
1,0,0,5,27,53,4
1,0,0,6,21,63,3
1,0,0,7,25,65,3
1,0,0,6,15,64,4
0,0,0,7,26,24,5
0,1,0,3,9,50,2
1,0,0,5,17,44,4
0,0,0,1,16,76,5
0,0,0,5,2,21,3
1,0,0,7,20,68,2
0,0,0,1,21,35,5
1,0,0,6,22,61,3
0,0,0,2,9,25,4
1,0,0,1,14,67,3
1,0,0,5,23,68,5
1,0,0,5,13,62,3
1,0,0,7,22,69,5
1,0,0,7,13,85,5
1,0,0,7,1,26,4
0,1,0,4,19,50,4
0,0,0,3,28,54,5
0,0,0,4,17,68,5
1,0,0,7,21,70,3
1,0,0,5,2,59,1
0,0,1,6,13,61,2
0,0,1,3,27,20,3
0,0,0,6,23,40,3
0,1,0,1,15,24,4
1,0,0,7,25,47,4
1,0,0,6,25,61,2
0,1,0,1,17,63,1
0,0,1,1,21,51,5
1,0,0,3,24,50,3
0,1,0,4,9,60,3
0,0,1,1,23,63,3
0,0,0,1,14,25,4
1,1,0,2,3,72,4
0,0,0,3,24,60,5
1,0,0,7,23,62,2
1,0,0,7,7,80,2
0,0,0,2,7,22,2
0,1,0,4,13,26,3
1,0,0,1,17,38,2
0,1,0,2,11,19,3
1,0,0,7,24,59,3
1,0,0,7,9,23,3
0,0,1,2,15,26,5
1,0,0,7,17,59,2
0,0,0,2,12,77,1
0,1,0,2,8,28,2
1,0,0,7,22,27,4
1,0,1,6,17,20,2
1,0,0,7,26,40,3
0,1,0,1,9,49,2
1,0,0,7,24,48,3
0,0,0,2,6,24,2
0,0,1,3,19,56,1
0,0,0,1,1,78,2
1,0,0,4,15,24,3
1,0,1,7,13,63,3
0,0,1,3,14,71,4
1,0,0,6,23,30,4
1,0,0,6,19,42,4
0,1,0,2,2,24,1
0,1,0,1,11,25,2
1,0,1,7,25,60,4
1,0,1,7,8,61,3
0,0,0,2,22,48,4
0,0,1,3,21,39,2
0,0,0,3,28,50,4
0,0,0,2,10,36,2
0,0,0,3,14,58,5
0,0,0,3,22,30,5
0,0,0,3,26,52,4
1,0,1,7,25,70,4
1,0,0,5,19,41,3
0,1,0,3,3,23,4
1,0,0,7,17,46,3
0,0,1,1,5,72,3
0,1,0,1,7,59,2
0,0,0,2,5,35,3
0,0,0,3,27,55,4
0,0,0,4,9,28,3
0,0,0,1,13,58,5
1,0,0,7,6,60,3
1,0,0,7,1,57,4
0,1,0,3,2,47,2
0,0,0,3,28,59,4
0,0,0,1,28,48,5
0,0,0,2,14,47,4
1,0,0,7,28,24,3
1,0,0,7,26,45,5
0,0,0,1,27,60,5
1,0,0,7,15,66,1
0,0,0,2,12,30,3
1,0,0,5,1,70,4
0,0,0,2,20,61,5
0,1,0,1,9,40,3
1,0,0,6,27,40,5
1,0,0,6,20,48,3
0,1,0,2,8,59,1
0,0,1,1,14,58,1
0,0,0,3,25,37,5
0,0,0,3,24,36,5
0,0,0,1,15,75,3
1,0,0,7,9,88,2
0,1,0,1,16,50,4
